,center,bandwidth,requested_power,measured_power
0,666.1,13.3,12.547869911511164,10.900000000000002
1,757.4,41.6,78.62345078154301,73.59999999999998
2,680.6,22.8,35.41428991135339,34.5
3,674.6,35.8,68.72306599135229,64.5580357142857
4,526.2,19.0,24.771644537969035,25.901187500000002
5,751.7,32.2,45.26670310466777,42.18562500000001
6,653.1,26.4,47.46591825315535,43.39999999999999
7,483.6,36.1,49.006933571295725,37.85874999999999
8,551.4,25.2,31.14382933150019,28.215714285714277
9,758.6,18.2,8.90787663201231,8.233892857142857
10,462.4,17.3,8.462978813709338,5.908803571428572
11,601.3,22.3,6.195194373413157,5.169508928571429
12,538.2,14.8,26.48916795339897,24.874598214285715
13,609.8,25.9,13.191923096753289,11.752330357142856
14,464.6,18.7,6.693317883489423,3.732616071428572
15,552.2,19.1,13.38668032178396,12.431214285714287
16,442.5,37.3,16.337653866357392,7.205464285714285
17,657.6,17.0,8.291142309116786,7.579008928571431
18,759.2,16.8,9.477131270333828,8.848178571428571
19,765.5,34.1,24.299020649459514,23.878401785714285
20,533.0,38.1,42.30863373683521,40.20000000000002
21,542.0,38.4,55.71730597000562,52.11071428571429
22,456.1,21.5,11.850736325669345,8.839901785714284
23,725.7,43.5,60.84012392529778,56.11267857142856
24,653.4,47.3,50.66473704887659,45.88741071428572
25,463.6,42.7,50.66718932701923,40.39999999999999
26,540.4,14.2,25.030884182839987,22.385133928571427
27,593.1,16.4,30.228262982499626,28.33752678571428
28,438.2,33.4,24.33494817669695,15.839616071428575
29,653.1,15.9,27.883849541450857,26.0
30,669.8,27.7,41.37605713169143,39.70000000000001
31,670.9,20.7,11.84424203774703,9.336928571428572
32,492.9,28.0,30.987190531121446,27.112098214285716
33,753.6,16.2,17.89159758931267,16.672339285714283
34,734.5,30.2,36.61651971478286,33.79999999999999
35,713.9,16.5,28.29561133057138,26.144464285714285
36,596.6,46.4,13.906903966071544,11.6976875
37,677.5,39.9,55.78064298035563,53.90000000000001
38,565.1,18.1,12.209066837725773,10.887357142857141
39,768.4,40.4,65.41806666905318,63.76258928571427
40,469.1,41.7,40.18042029996409,31.700000000000006
41,476.5,30.3,37.5297605301097,29.485687499999994
42,452.5,32.7,35.67939801977935,27.799999999999994
43,664.7,16.7,11.914970753350083,10.556321428571431
44,590.7,37.3,10.879826267677192,9.2153125
45,517.2,33.9,67.76362528600072,60.40580357142858
46,711.3,32.2,45.90587879656635,41.89999999999999
47,735.6,36.3,28.76113370134486,28.299999999999994
48,491.7,13.9,15.587805497916973,14.045741071428571
49,452.2,12.7,1.7484976302071655,1.4029999999999998
