temp [K],c2h2,c2h4,c2h6
300.0,6376.1966971374995,1030.6934144020001,218.86756551475003
310.0,4035.2600617239996,1614.104413882,1741.212566417
320.0,3733.831045326,1735.648372107,1916.306515613
330.0,3427.540270599,1852.3305720029998,2101.127906431
340.0,3104.2333417205,1947.1348594185001,2341.8820865755
350.0,2848.9910294479996,2027.353871847,2565.6132438815002
360.0,2671.5368504395,2073.5405759725,2757.7302159160004
370.0,2557.285529708,2114.8655217689998,2915.8011422735003
380.0,2467.3430006215,2163.483105059,3020.37113971
390.0,2387.1239881929996,2243.7021174875,3071.4402082255
400.0,2321.4902507515,2348.229921561,3076.3039290365004
